grid_lat,grid_lon,norm_demand,norm_competitor,norm_risk,total_score,cluster,dist_to_center_km,zone_type,annual_opex,est_cars_per_day,year_1_revenue,payback_years,is_viable,is_flood_safe,is_golden
13.576,100.6019,0.4217985088395452,0.0,0.0,0.1687194035358181,0,22.10017947424913,URBAN,120000.0,23.0,629625.0,2.78,True,True,True
13.576,100.607,0.4217985088395452,0.0,0.0,0.1687194035358181,0,22.277668646468435,URBAN,120000.0,23.0,629625.0,2.78,True,True,True
13.576,100.6121,0.4608476135312322,0.0,0.0,0.1843390454124929,0,22.467273378874015,URBAN,120000.0,24.0,657000.0,2.65,True,True,True
13.576,100.6172,0.2842914626163209,0.0,0.0,0.11371658504652836,0,22.66868966396304,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.576,100.6427,0.27866454611013,0.0,0.0,0.111465818444052,0,23.84185519975411,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.576,100.6478,0.27866454611013,0.0,0.0,0.111465818444052,0,24.107442184073232,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.576,100.6529,0.2484447859943923,0.0,0.0,0.09937791439775692,0,24.382590984987104,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.576,100.658,0.2484447859943923,0.0,0.0,0.09937791439775692,0,24.666981631625095,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.576,100.7702,0.25134504695412446,0.0,0.0,0.1005380187816498,0,32.69527999197757,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.576,100.7753,0.2969675683023514,0.0,0.0,0.11878702732094056,0,33.11944550549513,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.576,100.7804,0.2969675683023514,0.0,0.0,0.11878702732094056,0,33.54729903264364,URBAN,120000.0,19.0,520125.0,3.46,True,True,True
13.576,100.7855,0.7848722632269418,0.0,0.0,0.31394890529077674,0,33.97870125743983,URBAN,120000.0,34.0,930750.0,1.8,True,True,True
13.576,100.7906,0.7848722632269418,0.0,0.0,0.31394890529077674,0,34.41351872222941,URBAN,120000.0,34.0,930750.0,1.8,True,True,True
13.576,100.7957,0.6552073419095831,0.0,0.0,0.26208293676383326,0,34.85162359868457,URBAN,120000.0,30.0,821250.0,2.07,True,True,True
13.576,100.8008,0.23568663144626864,0.0,0.0,0.09427465257850746,0,35.29289346340858,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.576,100.8059,0.23568663144626864,0.0,0.0,0.09427465257850746,0,35.73721107561061,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.5805,100.2704,0.2787891162406187,0.0,0.0,0.11151564649624748,2,35.47164332031169,URBAN,120000.0,18.0,492750.0,3.68,True,True,True
13.5805,100.3622,0.21997875100787048,0.0,0.0,0.0879915004031482,2,27.972065066600866,URBAN,120000.0,17.0,465375.0,3.94,True,True,True
13.5805,100.5917,0.3815551219778299,0.0,0.0,0.15262204879113198,0,21.300603985278304,URBAN,120000.0,21.0,574875.0,3.09,True,True,True
13.5805,100.5968,0.3815551219778299,0.0,0.0,0.15262204879113198,0,21.456413033169866,URBAN,120000.0,21.0,574875.0,3.09,True,True,True
13.5805,100.6019,0.4217985088395452,0.0,0.0,0.1687194035358181,0,21.625143792065447,URBAN,120000.0,23.0,629625.0,2.78,True,True,True
